UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,Temp_Diff,Power_Index,Wear_Ratio,Machine_Load,Health_Score,Temp_Speed_Ratio,Torque_Wear_Ratio,Prediction,Failure_Probability
1,M14860,M,-0.9523894433829584,-0.94735988771734,0.1401797936685568,0.2840905706019339,-1.6959837443286894,0,0,0,0,0,0,2026-01-01 00:00:00,0.0050295556656183,0.0398237575701616,-0.5172545217963063,-0.2691360110670031,-0.6342925422316995,-0.8308864031603175,-0.4081856407091134,0,0.0
2,L47181,L,-0.9023934097553372,-0.8799590021118113,-0.8208994581403156,0.6371221583139501,-1.6488517007812828,0,0,0,0,0,0,2026-01-01 00:10:00,0.0224344076435258,-0.5230132345291101,-0.5028798187792993,-0.560641378653267,-0.7229962824949594,-4.913212394417052,-0.9819226142842667,0,0.0
3,L47182,L,-0.9523894433829584,-1.014760773322907,-0.216024404554312,0.949807278858879,-1.617430338416345,0,0,0,0,0,0,2026-01-01 00:20:00,-0.0623713299399485,-0.2051815518568407,-0.4932966834346279,-0.963827168802562,-0.5701595361635287,-1.2943780128079347,-1.5383229811723402,0,0.0
4,L47183,L,-0.9023934097553372,-0.94735988771734,-0.6528786099219813,-0.0487677835265382,-1.5860089760514078,0,0,0,0,0,0,2026-01-01 00:30:00,-0.0449664779620028,0.0318394427177823,-0.4837135480899567,0.0462006419259247,-0.8274817333945208,-2.7291890237718057,0.083220198869889,0,0.0
5,L47184,L,-0.9023934097553372,-0.8799590021118113,-0.8208994581403156,0.0016653004323212,-1.55458761368647,0,0,0,0,0,0,2026-01-01 00:40:00,0.0224344076435258,-0.0013670442225333,-0.4741304127452854,-0.0014653961066417,-0.8312348366523226,-4.913212394417052,-0.003002772494776,0,0.0
6,M14865,M,-0.9523894433829584,-0.94735988771734,-0.7066452813518483,0.193311019475987,-1.5231662513215325,0,0,0,0,0,0,2026-01-01 00:50:00,0.0050295556656183,-0.1366023197460214,-0.4645472774006141,-0.1831351057052955,-0.7872499688595385,-3.229400543079722,-0.3695020827273892,0,0.0
7,L47186,L,-0.9523894433829584,-0.94735988771734,0.1872256311696904,0.2437441034348464,-1.4760342077741262,0,0,0,0,0,0,2026-01-01 01:00:00,0.0050295556656183,0.0456351436094794,-0.4501725743836071,-0.2309133864617998,-0.5889627608539776,-0.7979611144209989,-0.5120306470716927,0,0.0
8,L47187,L,-0.9523894433829584,-0.94735988771734,-0.0211202206210441,0.0218385340158652,-1.4446128454091884,0,0,0,0,0,0,2026-01-01 01:10:00,0.0050295556656183,-0.0004612346564552,-0.4405894390389357,-0.0206889511331813,-0.6687287726229332,-0.9678000380377524,-0.0491180905845548,0,0.0
9,M14868,M,-0.8523973761276875,-0.8799590021118113,0.9197965294016284,-1.1482090138296743,-1.413191483044251,0,0,0,0,0,0,2026-01-01 01:20:00,-0.0275616259841238,-1.0561186659482007,-0.4310063036942645,1.0103768580253472,-0.6747920691423591,-0.4583605546917418,2.778878706235836,0,0.0
10,M14869,M,-0.7524053088724167,-0.6777563452951486,1.4171382401278978,-1.2087287145803058,-1.3660594394968446,0,0,0,0,0,0,2026-01-01 01:30:00,0.0746489635772681,-1.7129356833723908,-0.4166316006772576,0.819223556047251,-0.5175623136233636,-0.2803961867151159,3.3020012166377284,0,0.0
